user_id,face_type,rt,sex,age,recent_cold,img,pd,PVDga,PVDpi,recency,recency.z,PVDga.z,PVDpi.z
83,normal,756.5652173913044,NA,NA,not recent,3.857142857142857,5,4.25,3.857142857142857,1.25,-1.3155694595495266,0.3844056943505949,0.9478902519581264
84,disfigured,717.5416666666666,NA,NA,not recent,2.7142857142857144,4.428571428571429,4.125,3.142857142857143,5,0.9318461323818571,0.18499213233948397,-0.5163007766828929
84,normal,789.8260869565217,NA,NA,not recent,2.7142857142857144,4.428571428571429,4.125,3.142857142857143,5,0.9318461323818571,0.18499213233948397,-0.5163007766828929
85,disfigured,476.7142857142857,NA,NA,recent,4,6.142857142857143,4.75,3.4285714285714284,5.75,1.3813292507681338,1.1820599423950384,0.06937563477351442
85,normal,448.1304347826087,NA,NA,recent,4,6.142857142857143,4.75,3.4285714285714284,5.75,1.3813292507681338,1.1820599423950384,0.06937563477351442
86,disfigured,502.77272727272725,NA,NA,recent,3.857142857142857,5.571428571428571,3.75,3.5714285714285716,5.75,1.3813292507681338,-0.4132485536938487,0.362213840501719
86,normal,519.9565217391304,NA,NA,recent,3.857142857142857,5.571428571428571,3.75,3.5714285714285716,5.75,1.3813292507681338,-0.4132485536938487,0.362213840501719
87,disfigured,583.875,NA,NA,recent,4,4.428571428571429,3.375,3.142857142857143,5.5,1.231501544639375,-1.0114892397271815,-0.5163007766828929
87,normal,585.2608695652174,NA,NA,recent,4,4.428571428571429,3.375,3.142857142857143,5.5,1.231501544639375,-1.0114892397271815,-0.5163007766828929
88,disfigured,424.5263157894737,NA,NA,not recent,3.857142857142857,4.857142857142857,5.125,3.142857142857143,1.25,-1.3155694595495266,1.7803006284283713,-0.5163007766828929
88,normal,422.04347826086956,NA,NA,not recent,3.857142857142857,4.857142857142857,5.125,3.142857142857143,1.25,-1.3155694595495266,1.7803006284283713,-0.5163007766828929
89,disfigured,488.04347826086956,NA,NA,not recent,2.857142857142857,4.857142857142857,4.625,3.142857142857143,1,-1.4653971656782854,0.9826463803839276,-0.5163007766828929
89,normal,463.4583333333333,NA,NA,not recent,2.857142857142857,4.857142857142857,4.625,3.142857142857143,1,-1.4653971656782854,0.9826463803839276,-0.5163007766828929
90,disfigured,639.695652173913,NA,NA,not recent,4.571428571428571,5.285714285714286,3.125,3.2857142857142856,1.25,-1.3155694595495266,-1.4103163637494034,-0.22346257095468924
90,normal,711.304347826087,NA,NA,not recent,4.571428571428571,5.285714285714286,3.125,3.2857142857142856,1.25,-1.3155694595495266,-1.4103163637494034,-0.22346257095468924
91,disfigured,761.3333333333334,NA,NA,not recent,4.714285714285714,6,3.875,3.5714285714285716,2,-0.8660863411632498,-0.21383499168273784,0.362213840501719
91,normal,777.1111111111111,NA,NA,not recent,4.714285714285714,6,3.875,3.5714285714285716,2,-0.8660863411632498,-0.21383499168273784,0.362213840501719
92,disfigured,468.5,NA,NA,not recent,3.857142857142857,5,4.25,2.4285714285714284,1,-1.4653971656782854,0.3844056943505949,-1.9804918053239122
