subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5
412	practice	practice_topright_same	7	662	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_bottomright_same	8	484	18	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_topleft_same	9	658	23	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	square.bmp
412	practice	practice_bottomleft_diff	10	816	18	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	circle.bmp
412	practice	practice_topright_diff	11	825	23	mask.bmp	blankscreen.bmp	practice10.jpg	blankscreen.bmp	square.bmp
412	practice	practice_bottomright_same	12	825	23	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	square.bmp
412	real_a	real_topright_same_a	1	1665	18	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp
412	real_a	real_bottomright_diff_a	2	1720	18	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_bottomright_diff_a	3	1462	23	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp
412	real_a	real_bottomleft_same_a	4	845	23	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_bottomleft_diff_a	5	1279	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp
412	real_a	real_topright_diff_a	6	1253	18	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_bottomleft_diff_a	7	1269	18	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_topleft_same_a	8	764	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_bottomleft_diff_a	9	721	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_topleft_diff_a	10	934	23	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	square.bmp
412	real_a	real_bottomright_same_a	11	667	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp
412	real_a	real_topleft_same_a	12	754	18	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_topright_diff_a	13	862	18	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	circle.bmp
412	real_a	real_bottomright_same_a	14	813	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp
