subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5										
402	real_d	real_bottomleft_diff_d	18	303	23	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	square.bmp										
402	real_d	real_topleft_diff_d	19	317	18	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	circle.bmp										
402	real_d	real_bottomright_diff_d	20	259	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	square.bmp										
403	practice	practice_topleft_same	1	798	18	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_bottomright_same	2	6487	18	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_topright_same	3	1189	23	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	square.bmp										
403	practice	practice_bottomright_same	4	334	18	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	square.bmp										
403	practice	practice_bottomleft_same	5	513	23	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	square.bmp										
403	practice	practice_bottomleft_same	6	494	18	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_bottomleft_diff	7	131	23	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_topright_diff	8	727	18	mask.bmp	blankscreen.bmp	practice10.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_topleft_same	9	363	18	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	circle.bmp										
403	practice	practice_topright_same	10	70	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	square.bmp										
403	practice	practice_bottomright_diff	11	444	23	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	square.bmp										
403	practice	practice_topleft_diff	12	547	18	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	circle.bmp										
403	real_a	real_bottomleft_same_a	1	621	23	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	square.bmp										
403	real_a	real_topleft_diff_a	2	663	23	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	square.bmp										
403	real_a	real_topright_diff_a	3	294	18	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_bottomleft_diff_a	4	381	18	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_topleft_same_a	5	463	23	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	square.bmp										
403	real_a	real_topright_diff_a	6	471	18	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_topright_same_a	7	471	18	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_bottomright_diff_a	8	470	18	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_topleft_diff_a	9	342	23	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	square.bmp										
403	real_a	real_bottomleft_diff_a	10	346	18	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp										
403	real_a	real_bottomright_diff_a	11	471	23	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	square.bmp										
