user_id,blockcode,position,trial_type,block,trialnum,rt,response,site,stim_id,face_sex,face_type,target,correct,mean_rt,sd_rt,n_correct
406,real_a,topright,diff,a,15,709,23,VU,wmd3,m,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomright,diff,a,16,603,18,VU,wmn3,m,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_a,bottomleft,diff,a,18,723,23,VU,wfd3,f,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_a,topleft,diff,a,19,384,23,VU,wfd1,f,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomright,diff,b,2,498,18,VU,wfn8,f,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomleft,diff,b,6,497,18,VU,wmd6,m,disfigured,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomright,diff,b,7,567,23,VU,wmd7,m,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_b,topleft,diff,b,8,507,18,VU,wmd8,m,disfigured,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomleft,diff,b,10,518,18,VU,wfn7,f,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomright,diff,b,11,636,18,VU,wfd6,f,disfigured,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,bottomleft,diff,b,12,716,23,VU,wmn8,m,typical,square,1,598.9583333333334,121.18931178441497,48
406,real_b,topright,diff,b,14,595,23,VU,wfn6,f,typical,square,1,598.9583333333334,121.18931178441497,48
406,real_b,topright,diff,b,15,574,23,VU,wmn7,m,typical,square,1,598.9583333333334,121.18931178441497,48
406,real_b,topright,diff,b,18,633,23,VU,wfd8,f,disfigured,square,1,598.9583333333334,121.18931178441497,48
406,real_b,topleft,diff,b,19,962.5262686865783,18,VU,wmn6,m,typical,circle,1,598.9583333333334,121.18931178441497,48
406,real_b,topleft,diff,b,20,394,18,VU,wfd7,f,disfigured,circle,1,598.9583333333334,121.18931178441497,48
406,real_c,topright,diff,c,2,490,23,VU,wfn5,f,typical,square,1,598.9583333333334,121.18931178441497,48
